page_path,file,term,status,context_excerpt,recommended_icon_location,tooltip,intent
/,index.html,Nitrogen Cycle,present,Master the nitrogen cycle with step-by-step guidance.,div.features-grid > article.card > p,The nitrogen cycle converts fish waste from ammonia to nitrite to less harmful nitrate via beneficial bacteria.,Explain cycling process
/,index.html,Water Change,missing,,Add tooltip near first mention or summary of 'Water Change' on index.html.,Routine partial water changes remove waste and refresh minerals to keep fish healthy.,Highlight maintenance
/about.html,about.html,Water Change,present,school was amazing. Losing my first fish to a bad water change was crushing.,div.accordion-item > div#sec-owner > p,Routine partial water changes remove waste and refresh minerals to keep fish healthy.,Highlight maintenance
/about.html,about.html,Ammonia,present,"From there, it was nonstop learning—daily water changes, ammonia battles, flooded kitchens from siphon hoses. When I discovered planted",div.accordion-item > div#sec-owner > p,Ammonia (NH3/NH4+) is toxic to fish above 0 ppm; regular testing and water changes keep it safe.,Warn about toxic ammonia
/blogs/blackbeard/,blogs/blackbeard/index.html,Water Change,present,— one capful over the surface (especially during water changes).,article.blog-article > ol > li,Routine partial water changes remove waste and refresh minerals to keep fish healthy.,Highlight maintenance
/blogs/blackbeard/,blogs/blackbeard/index.html,Nitrate,present,Managing My New Problem: Zero Nitrates (The Dosing Life),main.blog-open > article.blog-article > h2,Nitrate (NO3-) builds up after cycling; keep under 40 ppm with water changes or plants.,Highlight nitrate management
/blogs/cycle-check-3-readings/,blogs/cycle-check-3-readings/index.html,Ammonia,present,"Log ammonia, nitrite, and nitrate daily. Consistency beats speed.",main.blogs-panel.article > figure.figure.blog-hero > figcaption.muted,Ammonia (NH3/NH4+) is toxic to fish above 0 ppm; regular testing and water changes keep it safe.,Warn about toxic ammonia
/blogs/cycle-check-3-readings/,blogs/cycle-check-3-readings/index.html,Nitrite,present,"Log ammonia, nitrite, and nitrate daily. Consistency beats speed.",main.blogs-panel.article > figure.figure.blog-hero > figcaption.muted,Nitrite (NO2-) stresses fish and should remain at 0 ppm once the tank is cycled.,Warn about nitrite spikes
/blogs/cycle-check-3-readings/,blogs/cycle-check-3-readings/index.html,Nitrate,present,"Log ammonia, nitrite, and nitrate daily. Consistency beats speed.",main.blogs-panel.article > figure.figure.blog-hero > figcaption.muted,Nitrate (NO3-) builds up after cycling; keep under 40 ppm with water changes or plants.,Highlight nitrate management
/blogs/purigen/,blogs/purigen/index.html,Nitrate,present,It’s not carbon. It’s a synthetic resin that traps dissolved organics before they break down into nitrates. Think of it as a polish — not a crutch.,main.article.blog-open > article > blockquote.tip,Nitrate (NO3-) builds up after cycling; keep under 40 ppm with water changes or plants.,Highlight nitrate management
/blogs/purigen/,blogs/purigen/index.html,Water Change,present,"per bag without recharging in a heavily planted, fairly stocked tank with weekly water changes. You can — and it’s easier than you think — keep rotating fresh bags to hold that water polish while you learn the rec",main.article.blog-open > article > p,Routine partial water changes remove waste and refresh minerals to keep fish healthy.,Highlight maintenance
/gear/,gear/index.html,Aquarium Heater,present,"A quick fishkeeping reference to match aquarium heaters, filters, lights, and maintenance tools to your tank setup.",main#gear-page > div.gear-intro > p.gear-intro__blurb,A reliable heater maintains stable temperatures suited to your species; use a thermometer to verify.,Assist gear selection
/gear/,gear/index.html,Filter Media,missing,,Add tooltip near first mention or summary of 'Filter Media' on gear/index.html.,Filter media houses bacteria and removes debris; rinse gently in tank water to preserve colonies.,Guide gear choices
/media.html,media.html,Nitrogen Cycle,present,Aquarium Science Made Simple: Nitrogen Cycle Explained | Life in Balance Book,div.featured-video > h3.now-playing > span.now-playing-title,The nitrogen cycle converts fish waste from ammonia to nitrite to less harmful nitrate via beneficial bacteria.,Explain cycling process
/pages/university.html,pages/university.html,Ammonia,present,UF/IFAS Extension — Ammonia in Aquatic Systems,ul.article-list > li > a,Ammonia (NH3/NH4+) is toxic to fish above 0 ppm; regular testing and water changes keep it safe.,Warn about toxic ammonia
