id,name,gphRated,typeDeclared,typeInferred,brand,sourcePaths
aquaneat-sponge-10,Single Sponge Filter (Up to 10G),60,SPONGE,SPONGE,AQUANEAT,data/filters.json:3
seachem-tidal-35,Tidal 35,130,HOB,OTHER,Seachem,data/filters.json:15
aquaclear-30,Power Filter 30,150,HOB,HOB,AquaClear,data/filters.json:27
aquaclear-50,Power Filter 50,200,HOB,HOB,AquaClear,data/filters.json:28
seachem-tidal-55,Tidal 55,250,HOB,OTHER,Seachem,data/filters.json:16
aquaclear-70,Power Filter 70,300,HOB,HOB,AquaClear,data/filters.json:28
seachem-tidal-75,Tidal 75,350,HOB,OTHER,Seachem,data/filters.json:16
fluval-107,107 Performance Canister,145,CANISTER,CANISTER,Fluval,data/filters.json:87
fluval-207,207 Performance Canister,206,CANISTER,CANISTER,Fluval,data/filters.json:99
fluval-307,307 Performance Canister,303,CANISTER,CANISTER,Fluval,data/filters.json:111
fluval-407,407 Performance Canister,383,CANISTER,CANISTER,Fluval,data/filters.json:123
fluval-fx4,FX4 High Performance Canister,700,CANISTER,CANISTER,Fluval,data/filters.json:135
oase-biomaster-250,BioMaster Thermo 250,250,CANISTER,OTHER,Oase,data/filters.json:147
oase-biomaster-600,BioMaster Thermo 600,320,CANISTER,OTHER,Oase,data/filters.json:148
powkoo-dual-sponge-40,Dual Sponge Filter (20–55G),150,SPONGE,SPONGE,Powkoo,data/filters.json:171
B0002566WY,AquaClear 50 Power Filter,0,,HOB,AquaClear,data/gear_filtration.csv:2 | data/gear_master.csv:2 | reports/samples_after.csv:2 | data/raw/exportedList_1K6C25CO6ESSX.csv:3
B08N4G6GRH,Aqueon QuietFlow Canister Filter 200,0,CANISTER,CANISTER,Aqueon,data/gear_filtration.csv:3 | data/gear_master.csv:3 | reports/samples_after.csv:3 | data/raw/exportedList_1K6C25CO6ESSX.csv:8
B0BR8HH7ND,Cascade 1500 Canister Filter,0,CANISTER,CANISTER,Cascade,data/gear_filtration.csv:4 | data/gear_master.csv:4 | reports/samples_after.csv:4 | data/raw/exportedList_1K6C25CO6ESSX.csv:12
B005QRDCP2,Eheim Classic External Canister Filter 2213,0,CANISTER,CANISTER,Eheim,data/gear_filtration.csv:5 | data/gear_master.csv:5 | reports/samples_after.csv:5 | data/raw/exportedList_1K6C25CO6ESSX.csv:13
B07KXJGDLT,Fluval 107 Performance Canister Filter,0,CANISTER,CANISTER,Fluval,data/gear_filtration.csv:6 | data/gear_master.csv:6 | reports/samples_after.csv:6 | data/raw/exportedList_1K6C25CO6ESSX.csv:2
B09R7MDG8M,Fluval FX4 High Performance Canister Filter,0,CANISTER,CANISTER,Fluval,data/gear_filtration.csv:7 | data/gear_master.csv:7 | reports/samples_after.csv:7 | data/raw/exportedList_1K6C25CO6ESSX.csv:9
B08F2Z4M6W,Hygger Quiet Aquarium Power Filter,0,CANISTER,HOB,Hygger,data/gear_filtration.csv:8 | data/gear_filtration.csv:10 | data/gear_master.csv:8 | data/gear_master.csv:10 | reports/samples_after.csv:8 | reports/samples_after.csv:10 | data/raw/exportedList_1K6C25CO6ESSX.csv:6 | data/raw/exportedList_1K6C25CO6ESSX.csv:11
B07PHLZYRZ,MarineLand Penguin 350 BIO-Wheel Filter,0,,OTHER,MarineLand,data/gear_filtration.csv:9 | data/gear_master.csv:9 | reports/samples_after.csv:9 | data/raw/exportedList_1K6C25CO6ESSX.csv:7
B01M0N8FPT,Seachem Tidal 55 Hang On Back Filter,0,HOB,HOB,Seachem,data/gear_filtration.csv:11 | data/gear_master.csv:11 | reports/samples_after.csv:11 | data/raw/exportedList_1K6C25CO6ESSX.csv:4
B081V6B7LN,SunSun HW-3000 Canister Filter,0,CANISTER,CANISTER,SunSun,data/gear_filtration.csv:12 | data/gear_master.csv:12 | reports/samples_after.csv:12 | data/raw/exportedList_1K6C25CO6ESSX.csv:10
B0B3QFMG6M,Tetra Whisper IQ Power Filter 45,0,,HOB,Tetra,data/gear_filtration.csv:13 | data/gear_master.csv:13 | reports/samples_after.csv:13 | data/raw/exportedList_1K6C25CO6ESSX.csv:5
filters-g-5-10-01,Pawfly Aquarium Nano Bio Sponge Filter Quiet Betta Fry Shrimp and Small Fish Foam Filter for Tiny Fish Tank up to 10 Gallon,0,,SPONGE,Pawfly,data/gear_filters_ranges.csv:2
filters-g-5-10-02,"hygger Aquarium Double Sponge Filter, Comes with 2 Spare Sponges (S)",0,,SPONGE,Hygger,data/gear_filters_ranges.csv:3
filters-g-5-10-03,"AC30 Power Filter, 10–30 US Gal / 38–114 L – Fluval USA (fluvalaquatics.com)",0,,HOB,Fluval,data/gear_filters_ranges.csv:4 | data/gear_filters_ranges.csv:5
filters-g-10-20-02,hygger Aquarium Double Sponge Filter for Fresh Water and Salt-Water Fish Tank (M),0,,SPONGE,Hygger,data/gear_filters_ranges.csv:6 | data/gear_filters_ranges.csv:8
filters-g-10-20-03,AQUANEAT Aquarium Bio Sponge Filter Breeding Fry Betta Shrimp Nano Fish Tank (Middle up to 20Gal),0,,SPONGE,AQUANEAT,data/gear_filters_ranges.csv:7
filters-g-20-40-02,"Seachem Tidal Power Aquarium Filter - 35 Gallon Large Fish Tank Filter, black",0,,OTHER,Seachem,data/gear_filters_ranges.csv:9
filters-g-20-40-03,"Fluval C2 Power Filter, Fish Tank Filter for Aquariums up to 30 Gal.",0,,HOB,Fluval,data/gear_filters_ranges.csv:10
filters-g-40-60-01,AQUANEAT Aquarium Bio Sponge Filter Breeding Fry Betta Shrimp Nano Fish Tank (Large up to 60Gal),0,,SPONGE,AQUANEAT,data/gear_filters_ranges.csv:11
filters-g-40-60-02,"SeaChem Large Aquarium Fish Tank Filter, Tidal 55 Gallon (200 Liters) by Sicce",0,,OTHER,Seachem,data/gear_filters_ranges.csv:12
filters-g-40-60-03,"AquaClear 70 Power Filter, Fish Tank Filter for 40- to 70-Gallon Aquariums, Black",0,,HOB,AquaClear,data/gear_filters_ranges.csv:13
filters-g-60-90-01,Aqueon QuietFlow 75 LED PRO Aquarium Fish Tank Power Filter For Up To 90 Gallon Aquariums,0,,HOB,Aqueon,data/gear_filters_ranges.csv:14
filters-g-60-90-02,Fluval 407 Perfomance Canister Filter - for Aquariums Up to 100 Gallons - Aquarium Canister Filter,0,,CANISTER,Fluval,data/gear_filters_ranges.csv:15 | data/gear_filters_ranges.csv:18
filters-g-60-90-03,"Marineland Penguin Bio-Wheel Power Filter, Multi-Stage Aquarium Filtration",0,,HOB,MarineLand,data/gear_filters_ranges.csv:16
filters-g-90-125-01,"Fluval FX2 High Performance Canister Aquarium Filter - Multi-Stage Filtration, Built-in Powered Water Change System, and Basket-in-Basket Tray Design",0,,CANISTER,Fluval,data/gear_filters_ranges.csv:17
filters-g-90-125-03,"SeaChem – Large Aquarium Fish Tank Filter, Tidal 110 Gallon (400 Liters) by Sicce",0,,OTHER,Seachem,data/gear_filters_ranges.csv:19
seachem-purigen-organic-filtration-resin-fresh-and-saltwater-500-ml-116016308,Seachem Purigen Organic Filtration Resin - Fresh and Saltwater 500 ml (116016308),0,,OTHER,Seachem,data/gear_filters.csv:2
seachem-matrix-bio-media-1-liter,Seachem Matrix Bio Media 1 Liter,0,,OTHER,Seachem,data/gear_filters.csv:3
aquarium-filter-media-pad-cut-to-fit-roll-12-x-72-6-ft,"Aquarium Filter Media Pad Cut to Fit Roll, 12"" x 72"" (6 ft)",0,,OTHER,,data/gear_filters.csv:4
fluval-biomax-biological-material-remover-500-g-biological-filter-media-for-aquariums,"Fluval BioMax Biological Material Remover, 500 g - Biological Filter Media for Aquariums",0,,OTHER,Fluval,data/gear_filters.csv:5
aquatic-experts-bio-balls-filter-media-bulk-1-5-inch-300-count-with-14-x-20-mesh-bag,"Aquatic Experts Bio Balls Filter Media Bulk, 1.5 Inch (300 Count with 14"" x 20"" Mesh Bag)",0,,OTHER,,data/gear_filters.csv:6
fluval-spec-evo-flex-activated-carbon-replacement-aquarium-filter-media-3-pack-a1377-black,"Fluval Spec/Evo/Flex Activated Carbon, Replacement Aquarium Filter Media, 3-Pack, A1377, Black",0,,OTHER,Fluval,data/gear_filters.csv:7
big-kahuna-aquarium-filter-floss-rolls-12-inch-x-6-ft-1-inch-thick-bonded-media,Big Kahuna Aquarium Filter Floss Rolls – 12-inch x 6 ft – 1-inch Thick Bonded Media,0,,OTHER,,data/gear_filters.csv:8
penn-plax-undergravel-aquarium-filter-for-20-long-29-gallon-tanks-two-14-x-11-1-plates,"Penn-Plax Undergravel Aquarium Filter for 20 (Long) - 29 Gallon Tanks (Two 14"" x 11.1"" Plates)",0,,UGF,Penn-Plax,data/gear_filters.csv:9
aquarium-filter-pad-media-roll-39-4-x-11-8-in-white,Aquarium Filter Pad - Media Roll 39.4 x 11.8 in (White),0,,OTHER,,data/gear_filters.csv:10
aquatic-experts-classic-bonded-aquarium-filter-pad-24-x-12-ft-x-0-75-blue-white,"Aquatic Experts Classic Bonded Aquarium Filter Pad - 24"" x 12 ft x 0.75"" (Blue/White)",0,,OTHER,,data/gear_filters.csv:11
aquaneat-aquarium-bio-sponge-foam-filter-media-pad-cut-to-fit-17-x-11-x-1-2-1,"AQUANEAT Aquarium Bio Sponge Foam Filter Media Pad Cut-to-Fit (17"" x 11"" x 1/2""–1"")",0,,SPONGE,AQUANEAT,data/gear_filters.csv:12
geiserailie-15-pieces-aquarium-filter-media-bags-150-micron-zipper-5-5-x-7-9,"Geiserailie 15 Pieces Aquarium Filter Media Bags, 150 Micron, Zipper, 5.5"" x 7.9""",0,,OTHER,,data/gear_filters.csv:13
