category,subgroup,title,notes,amazon_url
Extras,Cloths,"Microfiber Towels (Pack)","Lint-free; great for glass and general cleanup.",https://www.amazon.com/Amazon-Basics-Microfiber-Absorbent-Non-Abrasive/dp/B009FUF6DM?crid=2R2RSPOWSQMC1&dib=eyJ2IjoiMSJ9.Uuyh4_VJcHdo5GS9oyjYoqU3_VPrM6VQzS0FFuZJkXHwft6UPwjS-SfEPAln8VuDNOmnhPH_bb38fpV8V4M3-XSHza3vrFeOmjEiFl56SmE4dVkyjrHNuGdZ3meAkEAhBZB8_rPTypTP_Wyac93-btrpLx22W567riDHTLAnVwL0YxOJKXFGetzMf2GdyYd8y6H0SauAmU5crRV09RoQxyGJNLB0wq6yf6TgAYW79_k.G4y9WM-VQ1uQOXfSA281LOmIQejAjyTqfsi9J5T4xXs&dib_tag=se&keywords=Microfiber%2BTowels&qid=1765193635&sprefix=microfiber%2Btowels%2Caps%2C110&sr=8-3&th=1&linkCode=ll1&tag=fishkeepingli-20&linkId=d22dee34f9d85dec859ac37c344c52b3&language=en_US&ref_=as_li_ss_tl
Extras,Cloths,"Paper Towels (Bulk)","Keep a roll near your tank for quick drips.",
Extras,Sprayers,"Reusable Spray Bottles (2-Pack)","Label one for distilled water + vinegar mix.",
Extras,Water,"Distilled Water (1 Gal)","Use with vinegar for exterior glass cleaning.",
Extras,Gloves,"Nitrile/Neoprene Gloves","Dedicated set for tank maintenance only.",https://www.amazon.com/MedPride-Powder-Free-Nitrile-Gloves-Medium/dp/B00GS8W3T4?crid=3N89PNKMY9F6Z&dib=eyJ2IjoiMSJ9.4RyYy-Yl_u6NpvssIdVF88C070L48SVklkK80E_UpF0xDJLZZ0Bh5bP0CS5Ikn7pExPesvfZQmEVPnYwx3XG8D3CMOU7Ttw9jNcO00PjqVlcDKbcKP4XJTXwEWn95Dx3SsYlH0s4iVZkauFAbpKIcDrYbHk8WPS9ZIPLM4FUEMRn21rH8vU0pgM67g1uQKaIBKAvR_7QwwpeMd4E62k_koUdvpm6DMGpKAAxszXCIuc.b2tPYJCW-0oGIDUg90GpaLJX39Pe5jsBmyjufOP_NkA&dib_tag=se&keywords=Nitrile%2BGloves&qid=1765193697&sprefix=nitrile%2Bgloves%2Caps%2C143&sr=8-3&th=1&linkCode=ll1&tag=fishkeepingli-20&linkId=57a0f2ec390edbf18bd19850d3e1f1c1&language=en_US&ref_=as_li_ss_tl
Extras,Buckets,"5-Gallon Bucket (Dedicated)","Do not repurpose; keep for aquarium use only.",https://www.amazon.com/5-Gallon-Container-Heavy-Duty-Carrying-Multi-Use/dp/B0DPXTWRV2?crid=1IUN2CQ7DZL53&dib=eyJ2IjoiMSJ9.BU-hHh30qHFQXfXnEL9oFU39Hc_uGvEc4Mr2HoEjRSpL6tE9Onvfcbp7S4nHcYcx4uf-qdvNNECeqsrCWlHf6tl6p-ujIj1Jxs_ybf4dv9r-ukdAPo82iruNR9QAqmH5sKz6LiMfWs4hc5wUei4-qrb21sDRoTa2a03A0fmzlrPtYaj3Il2AZStS4Hlibkl35jlcMLW4MiMegaAgvt1d8T89vdCzX1qX3tGJDDdCGG0.dLJIM-AAmVOiijrAWatZREYkSAjzAdwF4tk3aEEzwLs&dib_tag=se&keywords=5-Gallon%2BBucket&qid=1765193828&sprefix=5-gallon%2Bbucket%2Caps%2C159&sr=8-3&th=1&linkCode=ll1&tag=fishkeepingli-20&linkId=6dce36b0d625f6fd8c840fbf59004101&language=en_US&ref_=as_li_ss_tl
Extras,Cable,"Cable Ties / Velcro Straps","Tidy cords; add drip loops for safety.",
Extras,Cloths,"Shop Towels / Rags","Absorbent option for bigger spills.",
Extras,Misc,"Small Parts Organizer","Store spare media, o-rings, test kit bits.",
Extras,Misc,"Silicone Mat / Tray","Set damp tools on this to protect surfaces.",https://www.amazon.com/SMILOOL-Silicone-Feeding-Placemat-Waterproof/dp/B0FSK1J7W1?content-id=amzn1.sym.ae14b2de-3d1e-446d-ac00-7e7896357fb5%3Aamzn1.sym.ae14b2de-3d1e-446d-ac00-7e7896357fb5&crid=WRZI3YTSDD8G&cv_ct_cx=Silicone%2BMat&keywords=Silicone%2BMat&pd_rd_i=B0CSP5WN5Z&pd_rd_r=fff129da-b3da-4f71-a3a1-4337ee67d8fb&pd_rd_w=d4qVt&pd_rd_wg=x09Nj&pf_rd_p=ae14b2de-3d1e-446d-ac00-7e7896357fb5&pf_rd_r=15J80PVMTX572AZ008MQ&qid=1765193963&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=silicone%2Bmat%2Caps%2C125&sr=1-4-e169343e-09af-4d41-85b1-8335fe8f32d0-spons&aref=U8Zpt3iPUP&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1&linkCode=ll1&tag=fishkeepingli-20&linkId=a28c7367f90201752926ed39c856c813&language=en_US&ref_=as_li_ss_tl
