category,subgroup,title,notes,amazon_url
Food,Staples (Daily),"Tetra TetraMin Plus Tropical Flakes 2.2 Ounces, Nutritionally Balanced Fish Food With Added Shrimp","Classic daily staple flake; easy for community tanks.",https://amzn.to/4o5Ulqx
Food,Staples (Daily),"Fluval Bug Bites Tropical Fish Food, Small Granules for Small to Medium Sized Fish, 1.6 oz., A6577","Protein from black soldier fly larvae; slow-sinking granules.",https://amzn.to/3KBeZAt
Food,Staples (Daily),"Hikari Tropical Semi-Floating Micro Pellets Fish Food, 0.77 oz (22 g)","Micro pellets for small community fish; semi-floating for mid-column feeding.",https://amzn.to/46MbkXO
Food,Staples (Daily),"New Life Spectrum Thera A Regular 80 g (Naturox Series)","Balanced daily pellet with garlic; good palatability and color support.",https://amzn.to/4h4JJ9k
Food,Bottom Feeders & Algae,"Hikari Tropical Sinking Wafers for Catfish, Loaches and Bottom Feeders 3.88 oz","Dense wafers for Corydoras, loaches; holds shape on substrate.",https://amzn.to/3IZ8gQj
Food,Bottom Feeders & Algae,"Hikari USA AHK21328 Tropical Algae Wafer 8.8 oz","Algae-based wafers for plecos and herbivores; stable in water.",https://amzn.to/4mUNdwq
Food,High-Protein Treats,"Hikari Bio-Pure Freeze Dried Blood Worms, 0.42 oz","Occasional protein-rich treat; rehydrate before feeding for safety.",https://amzn.to/4nJmKD6
Food,High-Protein Treats,"Hikari Bio-Pure Freeze Dried Brine Shrimp, 0.42 oz","High-protein, enticing treat; rotate with staple foods.",https://amzn.to/4pZsn1q
Food,High-Protein Treats,"Hikari Tropical Shrimp Cuisine Fish Food, 0.35 oz (10 g)","Micro pellet designed for dwarf shrimp; supplement minerals separately.",https://amzn.to/46FoPtF
Food,Color & Specialty,"TetraColor PLUS Tropical Flakes with Color Enhancing 2.2 oz","Color-boosting flake; use alongside a staple for variety.",https://amzn.to/3WnK90O
