Date,Time,Category,Action/Observation,Notes/Results,Nitrate(ppm),Dosing,ThrivePlus(pumps),WaterChange,tags,Image
2025-09-09,,Feeding,Fed: veggie-only (zucchini/spinach or wafers),Scheduled feeding (backfilled per user approval),,,,,,
2025-09-10,,Feeding,Fed: flakes + bloodworms,Scheduled feeding (backfilled per user approval),,,,,,
2025-09-11,,Feeding,Fed: flakes + brine shrimp,Scheduled feeding (backfilled per user approval),,,,,,
2025-09-12,,Feeding,Fed: flakes only,Scheduled feeding (backfilled per user approval),,,,,,
2025-09-15,,Feeding,Fed: flakes + brine shrimp,Scheduled feeding (backfilled per user approval),,,,,,
2025-09-16,,Feeding,Fed: veggie-only (zucchini/spinach or wafers),Scheduled feeding (backfilled per user approval),,,,,,
2025-09-17,,Feeding,Fed: flakes + bloodworms,Scheduled feeding (backfilled per user approval),,,,,,
2025-09-18,,Feeding,Fed: flakes + brine shrimp,Scheduled feeding (backfilled per user approval),,,,,,
2025-09-19,,Feeding,Fed: flakes only,Scheduled feeding (backfilled per user approval),,,,,,
2025-09-22,,Feeding,Fed: flakes + brine shrimp,Scheduled feeding (backfilled per user approval),,,,,,
2025-09-23,,Feeding,Fed: veggie-only (zucchini/spinach or wafers),Scheduled feeding (backfilled per user approval),,,,,,
2025-09-24,,Feeding,Fed: flakes + bloodworms,Scheduled feeding (backfilled per user approval),,,,,,
2025-09-25,,Feeding,Fed: flakes + brine shrimp,Completed feeding: flakes and ~half cube brine shrimp,,,,,,
2025-09-29,,Dosing,Dosed: Seachem Excel — spot dose,Method: spot dose with circulation on; note: sump/air left on,,,,,,
2025-09-29,,Feeding,Fed: flakes + brine shrimp,Pinch of flakes + ~half cube brine shrimp; forgot to turn off air/sump (Excel may disperse),,,,,,
2025-09-30,,Feeding,Fed: algae wafers + flakes,Three algae wafers and some flakes,,,,,,
2025-10-01,,Dosing,Dosed: NilocG Thrive Plus — 4 pumps,Routine fertilizer dose,,,,,,
2025-10-01,,Dosing,Dosed: Seachem Excel — 1 capful + spot dose,Method: capful + spot dose,,,,,,
2025-10-01,,Feeding,Fed: flakes + bloodworms,Standard Wednesday mix,,,,,,
2025-10-01,,Test,Water test · Nitrate: 5-10 ppm,Nitrate: 5-10 ppm,,,,,,
2025-10-02,,Dosing,Dosed: NilocG Thrive Plus — 4 pumps,Routine fertilizer dose,,,,,,
2025-10-02,,Feeding,Fed: flakes + brine shrimp,Fed flakes and ~half cube brine shrimp,,,,,,
2025-10-02,,Test,Water test · Nitrate: 5-10 ppm,Nitrate: 5-10 ppm,,,,,,
