ASIN,Item Title,Comments,Product URL
B0LGT00001,NICREW ClassicLED Plus Planted Aquarium Light 18-24 Inch,"Budget-friendly planted tank option - $39.99",
B0LGT00002,NICREW ClassicLED Plus Planted Aquarium Light 24-30 Inch,Ships fast,
B0LGT00003,Fluval Plant 3.0 LED Planted Aquarium Light 24-34 Inch,Bluetooth control,
B0LGT00004,Fluval Plant 3.0 LED Planted Aquarium Light 36-46 Inch,High PAR output,
B0LGT00005,Hygger Advanced Full Spectrum LED Aquarium Light 24-30 Inch,Includes sunrise mode,
B0LGT00005,Hygger Advanced Full Spectrum LED Aquarium Light 24-30 Inch,In stock soon,
B0LGT00006,Finnex Planted+ 24/7 HLC Aquarium LED 30 Inch,Great for 40 breeder,
B0LGT00007,Aqueon Planted Aquarium Clip-On LED Light,Clamp style gooseneck,
B0LGT00008,Current USA Satellite Freshwater Plus PRO LED Light 48 Inch,Remote included,
B0LGT00009,Beamswork DA FSPEC LED Aquarium Light 36 Inch,Affordable high output,
B0LGT00010,Aqueon OptiBright MAX LED Aquarium Light Fixture 48 Inch,Available in store,
,"Chihiros WRGB II Pro 60" Aquarium Light,Dual mounting arms,https://www.amazon.com/dp/B0LGT00011
,"Chihiros WRGB II Slim" Aquarium Light,"Ships in 2 days, $249.99",https://a.co/dummy123
