Category,Tank_Size,Product_Type,Product_Name,Use_Case,Recommended_Specs,Plant_Ready,Price_Range,Notes,Amazon_Link,Chewy_Link
Filtration,5 Gallon,Sponge Filter,AQUANEAT Sponge,Nano betta or shrimp fry tanks,20–40 GPH; air-driven,YES,Budget (<$20),Budget sponge for betta/shrimp nano tanks,https://amzn.to/3KwArqb,
Filtration,10 Gallon,HOB (internal clip-on),Tetra Whisper 10i,Compact HOB for 10g starter tanks,80 GPH; up to 10g,YES,Mid ($20–40),"Beginner-friendly HOB, quiet, compact",https://amzn.to/42XwEZi,
Filtration,20 Gallon,HOB,AquaClear 20,Community fish 15–20g setups,100 GPH; up to 20g,YES,Mid ($40–90),"Adjustable flow, reliable HOB, shrimp-safe with sponge",https://amzn.to/4o1y7WN,
Filtration,30 Gallon,HOB,AquaClear 30,Planted or community 25–30g aquariums,150 GPH; up to 30g,YES,Mid ($40–90),"Durable design, plant-friendly with mods",https://amzn.to/4nYav5l,
Filtration,50 Gallon,HOB,AquaClear 50,Medium 40–55g community tanks,200 GPH; up to 50g,YES,Mid ($70–150),Strong turnover; shrimp-safe with intake sponge,https://amzn.to/4nXVh05,
Filtration,70 Gallon,HOB,AquaClear 70,High-flow 55–75g freshwater tanks,300 GPH; up to 70g,YES,Mid ($70–150),"High flow, long-lasting, popular for mid-size tanks",https://amzn.to/4nTTyZK,
Filtration,110 Gallon,HOB,AquaClear 110,Large 90–125g cichlid or planted tanks,500 GPH; up to 110g,YES,Mid ($100–200),"Powerful, great for cichlids/large fish",https://amzn.to/4312pke,
Filtration,20 Gallon,Canister,Fluval 107,Silent filtration for 20–30g planted tanks,95 GPH; up to 30g,YES,Mid ($40–90),"Quiet canister, better bio capacity than HOB",https://amzn.to/4879D9S,
Filtration,30 Gallon,Canister,Fluval 207,Premium canister for 30–40g displays,122 GPH; up to 45g,YES,Mid ($40–90),Excellent balance of size and media volume,https://amzn.to/3KtrYEh,
Filtration,50 Gallon,Canister,Fluval 307,Canister upgrade for 40–60g tanks,206 GPH; up to 70g,YES,Mid ($70–150),"Large media capacity, quiet, strong choice",https://amzn.to/47bRUfx,
Filtration,70 Gallon,Canister,Fluval 407,High-capacity canister for 55–75g tanks,245 GPH; up to 100g,YES,Mid ($70–150),"Industry standard, reliable, expandable",https://amzn.to/4nvN57p,
Filtration,100 Gallon,Canister,Fluval FX4,Large 100g+ cichlid or planted displays,450 GPH; up to 250g,YES,Mid ($100–200),"High turnover, great for large cichlid or planted show tanks",https://amzn.to/3ITUYVf,
Filtration,125 Gallon,Canister,Fluval FX6,Flagship canister for 125g monster tanks,563 GPH; up to 400g,YES,Premium (>$200),"Massive bio volume, flagship filter",https://amzn.to/4q8CiCb,
Filtration,40 Gallon,HOB,Seachem Tidal 35,Feature-loaded HOB for 30–40g tanks,130 GPH; up to 35g,YES,Mid ($40–90),"Self-priming, surface skimmer, large media basket",https://amzn.to/3ITWKWp,
Filtration,55 Gallon,HOB,Seachem Tidal 55,Advanced HOB for 55g community tanks,250 GPH; up to 55g,YES,Mid ($70–150),Reliable mid-size HOB with skimmer,https://amzn.to/4pMD2g5,
Filtration,75 Gallon,HOB,Seachem Tidal 75,Large HOB for 75g planted or community tanks,350 GPH; up to 75g,YES,Mid ($70–150),"Surface skimmer, adjustable flow",https://amzn.to/4pW7Gni,
Filtration,110 Gallon,HOB,Seachem Tidal 110,Oversized HOB for 90–125g tanks,450 GPH; up to 110g,YES,Mid ($100–200),"Large capacity HOB, excellent upgrade pick",https://amzn.to/431O6Mj,
Filtration,20 Gallon,Canister,Cascade 500,Budget canister for 20–30g tanks,115 GPH; up to 30g,YES,Budget (<$40),Budget-friendly canister,https://amzn.to/4757LgP,
Filtration,30 Gallon,Canister,Cascade 700,Affordable canister for 30–40g tanks,185 GPH; up to 65g,YES,Budget (<$40),Mid-size budget canister,https://amzn.to/48HSBzg,
Filtration,50 Gallon,Canister,Cascade 1000,Entry canister for 40–60g setups,265 GPH; up to 100g,YES,Budget (<$70),Good entry-level canister option,https://amzn.to/48h3oAx,
Filtration,70 Gallon,Canister,Cascade 1500,High-capacity canister for 55–75g tanks,350 GPH; up to 200g,YES,Budget (<$70),Strong canister; cheaper alternative to Fluval,https://amzn.to/46P5pBk,
Filtration,100 Gallon,Canister,Cascade 2000,Budget canister for 100g+ tanks,500 GPH; up to 250g,YES,Budget (<$100),High capacity budget canister,https://amzn.to/4ntRKqp,
Filtration,20 Gallon,HOB,Penguin 100,Bio-wheel HOB for 20g community tanks,100 GPH; up to 20g,YES,Budget (<$40),Classic bio-wheel design,https://amzn.to/46Q2rg6,
Filtration,30 Gallon,HOB,Penguin 150,Bio-wheel HOB for 30g tanks,150 GPH; up to 30g,YES,Budget (<$40),Reliable HOB with rotating bio-wheel,https://amzn.to/46P5qFo,
Filtration,50 Gallon,HOB,Penguin 200,Bio-wheel HOB for 40–55g tanks,200 GPH; up to 50g,YES,Budget (<$70),"Mid-size HOB, simple design",https://amzn.to/3VNMUs3,
Filtration,70 Gallon,HOB,Penguin 350,Dual-cartridge HOB for 55–75g tanks,350 GPH; up to 75g,YES,Budget (<$70),"Popular larger HOB, dual cartridges",https://amzn.to/3VLNaHZ,
Filtration,110 Gallon,HOB,Penguin 400,Large bio-wheel HOB for 90–125g tanks,400 GPH; up to 110g,YES,Mid ($100–200),Large HOB with strong flow,https://amzn.to/4mGG6az,
Filtration,10 Gallon,HOB,QuietFlow 10,Silent HOB for 10g beginner tanks,100 GPH; up to 10g,YES,Mid ($20–40),Quiet beginner HOB,https://amzn.to/3VHCESa,
Filtration,20 Gallon,HOB,QuietFlow 20,Reliable HOB for 20g community tanks,125 GPH; up to 20g,YES,Mid ($40–90),Reliable starter filter,https://amzn.to/3VNjcn3,
Filtration,30 Gallon,HOB,QuietFlow 30,Affordable HOB for 30g setups,200 GPH; up to 30g,YES,Mid ($40–90),Affordable mid-size HOB,https://amzn.to/4nZf2Ew,
Filtration,50 Gallon,HOB,QuietFlow 50,High-flow HOB for 40–55g tanks,250 GPH; up to 50g,YES,Mid ($70–150),"Good flow, affordable",https://amzn.to/42XxbKM,
